id,area,atclNo,atclNm,tradTpNm,flrInfo,prc,rentPrc,hanPrc,spc1,spc2,direction,atclFetrDesc,tagList,bildNm
18,18,2426336195,디에이치퍼스티어아이파크,전세,8/26,170000,0,17억,144,112.85,남동향,44 O확트인 파노라마 거실뷰가 일품O구룡역근접O커뮤니티바로앞O생활편리동,"['2년이내', '대단지', '대형평수', '방네개이상']",118동
19,19,2426317960,래미안블레스티지,전세,6/17,130000,0,13억,113,84.94,남향,33 계좌보유 트인뷰 최고급커뮤니티,"['10년이내', '대단지', '방세개', '화장실두개']",219동
20,20,2426313878,디에이치퍼스티어아이파크,전세,30/33,300000,0,30억,201,156.96,남동향,61 O로얄동로얄층O커뮤니티최근접O근린공원O조중석식O수영장,"['2년이내', '대단지', '대형평수', '방네개이상']",103동
21,21,2426287699,디에이치퍼스티어아이파크,전세,4/26,150000,0,15억,144,112.85,남향,"44 로얄동 급전세 초중품아 커뮤니티,공원인접 장기거주","['2년이내', '융자금없는', '대단지', '대형평수']",147동
22,22,2426286437,래미안블레스티지,매매,17/21,210000,0,21억,80,59.83,남동향,"Nice 24형, 입주가능 초급매, 출발확실, 조중식,","['10년이내', '대단지', '급매']",222동
23,23,2426273489,디에이치퍼스티어아이파크,월세,12/21,80000,220,8억,110,84.82,남동향,34 O개원초O구룡역근접동O커뮤니티근접동O초중품아O조중석식,"['2년이내', '역세권', '대단지']",112동
24,24,2426250421,디에이치퍼스티어아이파크,전세,23/32,300000,0,30억,220,171.65,남향,66.주인직접 최고급커뮤니티시설 로얄동 로얄층,"['2년이내', '대단지', '대형평수', '방네개이상']",104동
25,25,2426284446,디에이치퍼스티어아이파크,전세,12/21,135000,0,"13억 5,000",110,84.82,남동향,디퍼아33p 테마 커뮤니티 조중석식 사우나 수영장 볼링장 영화관,"['2년이내', '역세권', '대단지']",112동
26,26,2426256719,디에이치퍼스티어아이파크,전세,30/30,450000,0,45억,230,179.65,남동향,70 V끝내주는뷰 팬트하우스 V전용테라스에 골프연습장 활용가능 V풀가전,"['2년이내', '테라스', '대단지']",162동
27,27,2426261947,디에이치퍼스티어아이파크,전세,9/32,300000,0,30억,220,171.64,남향,B.E.S.T 66. 전망채광예술.특급커뮤니티시설.채광좋음.인기1획지,"['2년이내', '대단지', '대형평수']",104동
28,28,2426252382,디에이치퍼스티어아이파크,월세,21/32,30000,1260,3억,220,171.65,남동향,66 보증금조율가 로얄동층 탁트인전망최고 커뮤니티최상,"['2년이내', '융자금없는', '대단지', '대형평수']",104동
29,29,2426248822,디에이치퍼스티어아이파크,월세,2/21,95000,160,"9억 5,000",110,84.82,남동향,,"['2년이내', '융자금없는', '대단지']",111동
30,30,2426263555,래미안블레스티지,전세,8/8,150000,0,15억,116,84.79,남향,"34펜트,융무,7초 입주협의가능, 실용성 있는 단독 테라스","['10년이내', '테라스', '대단지', '탑층']",223동
31,31,2426261086,래미안블레스티지,매매,20/22,280000,0,28억,113,84.94,남동향,"34,주인의뢰,갭투추천,풀에어컨,전망좋은집,조정","['10년이내', '대단지', '방세개', '화장실두개']",221동
32,32,2426277436,래미안블레스티지,매매,13/19,270000,0,27억,113,84.94,남동향,34 세안고 로얄층 개포숲 명문학군 최고급 커뮤니,"['10년이내', '대단지', '방세개']",220동
33,33,2426260596,디에이치퍼스티어아이파크,월세,16/29,130000,160,13억,144,112.85,남동향,B.E.S.T 실매물 44 커뮤니티인접 전망채광굿 초중품아 추천매물,"['2년이내', '융자금없는', '대단지', '대형평수']",153동
34,34,2426256194,디에이치퍼스티어아이파크,전세,21/32,265000,0,"26억 5,000",220,171.65,남향,66 V특급커뮤니티 수영장V호텔식조중석식 V핀란드산마루 V식세기,"['2년이내', '융자금없는', '대단지']",104동
35,35,2426253541,디에이치퍼스티어아이파크,전세,13/32,268000,0,"26억 8,000",220,171.64,남동향,66 V특급커뮤니티 연결동V확트인 공원뷰V호텔식 조중석식V줄눈탄성V식세기,"['2년이내', '대단지', '대형평수']",104동
36,36,2426274320,래미안블레스티지,매매,6/16,170000,0,17억,67,49.9,남동향,24 BEST 입주협의 내부상태 최상 호텔급 커뮤니티 조중식서비스,"['10년이내', '대단지', '방두개']",218동
37,37,2426250779,디에이치퍼스티어아이파크,매매,28/30,430000,0,43억,125,96.82,남서향,"38.주인직접.로얄층,최고급커뮤니티시설","['2년이내', '대단지', '방네개이상', '화장실두개']",163동
38,38,2426261883,디에이치퍼스티어아이파크,전세,17/32,330000,0,33억,220,171.65,남향,B.E.S.T 66 전망채광예술.특급커뮤니티시설.채광좋음.인기1획지,"['2년이내', '융자금없는', '대단지']",104동
39,39,2426260449,디에이치퍼스티어아이파크,월세,33/35,100000,460,10억,170,132.99,남서향,51. 탁트인뷰. 최고급커뮤니티. 호텔식 조중석 구룡역 7분.,"['2년이내', '대단지', '대형평수']",101동
40,40,2426255349,디에이치퍼스티어아이파크,월세,11/19,80000,280,8억,125,96.82,남동향,38. 탁트인뷰. 초역세권.최고급커뮤니티.보증금 조정가,"['2년이내', '융자금없는', '대단지']",110동
41,41,2426232938,디에이치퍼스티어아이파크,월세,30/33,100000,800,10억,201,156.96,남향,"61  보증금 조정가능, 최고로얄동층, 상가접근성,  커뮤니티접근성","['2년이내', '융자금없는', '대단지']",103동
42,42,2426227326,디에이치퍼스티어아이파크,월세,30/30,300000,600,30억,230,179.65,남향,70펜트 테라스정원 풀옵션 파노라마뷰 보증금조정,"['2년이내', '테라스', '마당', '대단지']",162동
43,43,2426225913,디에이치퍼스티어아이파크,월세,4/26,100000,240,10억,145,112.99,남동향,44 보증금조정가능 초중품아 조중석식 커뮤니티근접동 최고급커뮤니티,"['2년이내', '융자금없는', '대단지']",147동
44,44,2426216825,디에이치퍼스티어아이파크,매매,14/29,450000,0,45억,144,112.85,남동향,44 주인직 조율가O초품아 O영화관 수영장 조중석식 실내트랙 볼링장등,"['2년이내', '대단지', '대형평수', '방네개이상']",153동
45,45,2426192428,디에이치퍼스티어아이파크,전세,24/29,130000,0,13억,110,84.82,남향,33 착한전세 탁트인뷰 역대급커뮤니티 모든것이최고,"['2년이내', '대단지', '방세개']",158동
46,46,2426240509,디에이치퍼스티어아이파크,월세,12/33,100000,700,10억,201,156.96,남동향,61.보증금조정가O트인공원조망O최고급커뮤니티O호텔식조중석식,"['2년이내', '융자금없는', '대단지', '대형평수']",103동
47,47,2426237098,디에이치퍼스티어아이파크,월세,9/21,50000,360,5억,110,84.82,남동향,33 실매물 1획지 개원초 역세권 학교앞 상가편리 고급커뮤니티,"['2년이내', '역세권', '대단지', '방세개']",113동
48,48,2426217730,디에이치퍼스티어아이파크,월세,28/28,230000,700,23억,230,179.79,남향,70펜트 조율  탁트인조망 초품아 영화관 수영장 조중석식 실내트랙 볼,"['2년이내', '대단지', '대형평수', '탑층']",138동
49,49,2426217513,디에이치퍼스티어아이파크,전세,28/28,400000,0,40억,230,179.79,남향,70펜트 탁트인조망 로얄동호수 주인직 조중석식 단독진행 볼링 수영 초품아,"['2년이내', '융자금없는', '대단지', '대형평수']",138동
50,51,2426223736,디에이치퍼스티어아이파크,월세,12/35,200000,160,20억,169,132.81,남동향,51 O 막힘없는 뷰O커뮤니티 바로연결O근린공원O,"['2년이내', '대단지', '대형평수']",101동
51,52,2426235026,디에이치퍼스티어아이파크,월세,8/26,140000,60,14억,145,112.99,남향,44 풀에어컨 역세권 1획지 보증금조정가능 개원초배정 로얄동 로얄층,"['2년이내', '융자금없는', '대단지', '대형평수']",118동
52,53,2426233933,디에이치퍼스티어아이파크,월세,17/35,20000,560,2억,125,96.82,남서향,"38. 로얄동층, 보증금조절가,개원초학군","['2년이내', '융자금없는', '대단지']",174동
53,54,2426230141,디에이치퍼스티어아이파크,월세,17/31,50000,800,5억,169,132.81,남향,"51 전망좋은집  상가접근성,  커뮤니티접근성, 학교접근성","['2년이내', '융자금없는', '대단지']",165동
54,55,2426224986,디에이치퍼스티어아이파크,전세,16/18,69000,0,"6억 9,000",50,34.99,남서향,15 실매물 소유자직접 최고급커뮤니티,"['2년이내', '융자금없는', '대단지', '소형평수']",140동
55,56,2426233669,디에이치퍼스티어아이파크,월세,19/26,50000,420,5억,145,112.99,남동향,44 V커뮤니티 앞  V동간거리 넓은동 V럭셔리 커뮤니티,"['2년이내', '대단지', '대형평수']",118동
56,57,2426225540,디에이치퍼스티어아이파크,전세,8/35,150000,0,15억,125,96.52,남동향,38. 커뮤니티 최상. 로얄동. 조중석식. 초품아. 뻥뷰.,"['2년이내', '융자금없는', '대단지', '방네개이상']",101동
57,61,2426090511,래미안블레스티지,월세,5/17,50000,280,5억,113,84.94,남동향,34 실매물 반전세 구조 아주 좋아요,"['10년이내', '융자금없는', '대단지']",219동
58,64,2426092818,래미안블레스티지,매매,17/17,220000,0,22억,80,59.83,남동향,24 BEST 갭투자추천 세안고 로얄동 탑층 옵션 내부상태 최상,"['10년이내', '대단지', '탑층']",206동
59,65,2426086964,디에이치퍼스티어아이파크,전세,14/16,149000,0,"14억 9,000",125,96.82,남동향,38  초품아 중품아  호텔급커뮤니티시설  조중석식  장기거주,"['2년이내', '융자금없는', '대단지']",167동
60,66,2426095537,디에이치퍼스티어아이파크,월세,18/30,80000,600,8억,169,132.81,남향,"51 초,중품아 조중석식 서비스 프리미엄 커뮤니티 보증금조정","['2년이내', '대단지', '대형평수']",162동
61,68,2426279006,래미안블레스티지,전세,22/23,120000,0,12억,80,59.96,남동향,교통편리 편의시설근접 빠른입주가능 채광좋음 ,"['10년이내', '대단지', '방세개', '화장실두개']",203동
62,70,2426277028,디에이치퍼스티어아이파크,전세,21/32,270000,0,27억,220,171.65,남향,"66.특급로얄.탁트인뷰,남향.방5.욕실3.명품주거단지.호텔급커뮤니티","['2년이내', '융자금없는', '대단지']",104동
63,71,2426222199,디에이치퍼스티어아이파크,월세,27/31,50000,600,5억,169,132.99,동향,"주인직접, 보증금조절가, 저렴한월세","['2년이내', '융자금없는', '대단지']",165동
64,73,2426244621,디에이치퍼스티어아이파크,월세,6/26,80000,360,8억,144,112.85,남서향,"조용한 동호, 최고옵션, 커뮤니티최근접, 2엘베, 중앙공원앞, 무융자","['2년이내', '융자금없는', '대단지', '대형평수']",147동
65,74,2426081750,디에이치퍼스티어아이파크,전세,4/30,150000,0,15억,125,96.82,남동향,"38.정원조망O최고급커뮤니티O조중석식O식세기,김냉","['2년이내', '융자금없는', '마당', '대단지']",163동
66,75,2426095964,디에이치퍼스티어아이파크,월세,21/30,100000,440,10억,169,132.81,남동향,51   보증금조정가능 개포중학교인접   숲세권대모산전망,"['2년이내', '융자금없는', '대단지']",162동
67,77,2426222123,디에이치퍼스티어아이파크,전세,27/31,179000,0,"17억 9,000",169,132.99,동향,"주인직접, 커뮤니티연결동, 뷰좋음","['2년이내', '융자금없는', '대단지']",165동
68,78,2426222319,디에이치퍼스티어아이파크,매매,27/31,450000,0,45억,169,132.99,동향,"주인직접, 급매물 전세","['2년이내', '대단지', '급매']",165동
69,79,2426293609,디에이치퍼스티어아이파크,전세,2/35,160000,0,16억,125,96.82,남향,"38. 주인직접 ,찐매물 전세16억.초중품아. 최고급커뮤니티. 조중석식","['2년이내', '대단지', '방네개이상']",101동
70,80,2426170192,디에이치퍼스티어아이파크,전세,33/35,220000,0,22억,170,132.99,남동향,51.주인직접.전월세전환가능.고층.공원뷰.로얄동.로얄층.,"['2년이내', '대단지', '대형평수', '방네개이상']",101동
71,81,2426080972,디에이치퍼스티어아이파크,전세,17/31,250000,0,25억,169,132.81,남동향,51 O뷰좋음O커뮤니티근접O수영장O조중석식O최대규모커뮤니티,"['2년이내', '대단지', '대형평수']",165동
72,82,2426079621,디에이치퍼스티어아이파크,월세,23/32,200000,360,20억,220,171.65,남서향,"66 근린공원 광장특조망 초품아통학편리 커뮤니티,근생근접 전세가능","['2년이내', '융자금없는', '대단지', '대형평수']",104동
73,83,2426075820,디에이치퍼스티어아이파크,월세,15/31,70000,680,7억,169,132.81,남향,"51 전망좋은집  상가접근성,  커뮤니티접근성, 학교접근성","['2년이내', '융자금없는', '대단지']",165동
74,84,2426050213,디에이치퍼스티어아이파크,월세,18/20,80000,310,8억,144,112.85,남동향,"44,빠른입주희망,10억까지보증금조정가능,장기거주,에풀,식세기","['2년이내', '대단지', '대형평수', '방네개이상']",145동
75,85,2426038463,디에이치퍼스티어아이파크,전세,14/29,180000,0,18억,144,112.85,남동향,V.44 추천매물 풀옵션 장기거주가능 커뮤니티 이용편리 호텔급커뮤니티,"['2년이내', '융자금없는', '대단지', '대형평수']",153동
76,86,2426015728,디에이치퍼스티어아이파크,전세,12/17,60000,0,6억,50,34.99,남서향,15 집주인직접의뢰 확실매물 탁트인뷰 명품커뮤니티 교통편리 협의가능,"['2년이내', '대단지', '소형평수']",142동
77,87,2425977738,디에이치퍼스티어아이파크,전세,9/35,210000,0,21억,170,132.99,남향,51 럭셔리 센터동 모든것이최고 탁월한선택,"['2년이내', '대단지', '대형평수']",101동
78,88,2425970579,디에이치퍼스티어아이파크,전세,8/26,170000,0,17억,145,112.99,남동향,"44,풀에,식세기, 로얄동, 최고급 커뮤니티,조중석식","['2년이내', '융자금없는', '대단지', '대형평수']",118동
79,97,2426035859,디에이치퍼스티어아이파크,월세,17/19,30000,320,3억,85,59.97,남동향,"26소유주 단독 구룡역,1획지 에어컨,김치냉징고 풀옵션 ","['2년이내', '융자금없는', '역세권', '대단지']",109동
80,98,2425956576,디에이치퍼스티어아이파크,월세,24/31,110000,160,11억,125,96.82,남향,38 집주인직접 전망굿 채광굿 커뮤니티근접 초.중품아,"['2년이내', '대단지', '방네개이상', '화장실두개']",166동
81,101,2425891488,디에이치퍼스티어아이파크,월세,10/16,100000,200,10억,125,96.82,남동향,38.풀옵션.보증금조정가능.초중품아. 최고급커뮤니티. 조중석식,"['2년이내', '대단지', '방네개이상']",167동
82,102,2425786023,디에이치퍼스티어아이파크,월세,19/26,20000,560,2억,145,112.99,남향,44 개방감최고 양창. 조용한동 커뮤니티근처 호텔식조중석식,"['2년이내', '융자금없는', '대단지']",147동
83,103,2425703758,디에이치퍼스티어아이파크,월세,14/16,100000,180,10억,125,96.82,남향,38 역대급커뮤니티 모든것이갖춰진아파트 생활편리,"['2년이내', '대단지', '방네개이상']",167동
84,104,2425920319,디에이치퍼스티어아이파크,월세,4/30,110000,160,11억,125,96.82,남동향,"38 주인의뢰, 식세기,김냉옵션, 초중고 인접동","['2년이내', '대단지', '방네개이상']",163동
85,105,2425869535,디에이치퍼스티어아이파크,전세,24/31,160000,0,16억,125,96.82,남향,38 독일산 주방강화형 시원하게 트인뷰 생활인프라 가까운 로얄세대,"['2년이내', '융자금없는', '대단지', '방세개']",166동
86,106,2425841523,디에이치퍼스티어아이파크,월세,11/31,100000,220,10억,125,96.82,남향,B.E.S.T 실매물 38 커뮤니티인접 전망채광굿 초중품아 추천매물,"['2년이내', '융자금없는', '대단지', '방네개이상']",166동
87,107,2425805014,디에이치퍼스티어아이파크,전세,22/29,135000,0,"13억 5,000",110,84.82,남향,33 장기거주 탁트인뷰 초등통학편리 역대급커뮤니티 협의가능,"['2년이내', '역세권', '대단지']",117동
88,108,2425741566,개포래미안포레스트,매매,4/19,270000,0,27억,115,84.86,남동향,35 집주인직접의뢰 확실매물 실입주가능 숲세권 명품커뮤니티 협의가능,"['4년이내', '대단지', '방세개']",130동
89,109,2425703427,디에이치퍼스티어아이파크,전세,14/19,145000,0,"14억 5,000",125,96.82,남향,,"['2년이내', '대단지', '방네개이상']",110동
90,110,2425811373,디에이치퍼스티어아이파크,월세,24/35,50000,720,5억,169,132.81,남향,51 주인직접 풀옵션 전망굿 로얄동 로얄층 보증금조정가 장기거주환영,"['2년이내', '융자금없는', '대단지', '대형평수']",173동
91,111,2425787240,디에이치퍼스티어아이파크,월세,13/19,30000,480,3억,125,96.82,남향,38 주인의뢰 역세권 귀한매물 개원초 로얄동층 장기거주환영,"['2년이내', '융자금없는', '대단지', '방네개이상']",110동
92,112,2425854233,디에이치퍼스티어아이파크,전세,11/31,160000,0,16억,125,96.82,남동향,38. 로얄동 최고급 커뮤니티 호텔식 조중석 가능.,"['2년이내', '대단지', '방네개이상']",166동
93,113,2425920764,디에이치퍼스티어아이파크,월세,29/30,70000,300,7억,125,96.62,남동향,"38 보증금조정가능 로얄동, 커뮤니티 초중고 인접동으로 인기","['2년이내', '대단지', '방네개이상']",163동
94,116,2425968812,디에이치퍼스티어아이파크,전세,12/29,105000,0,"10억 5,000",85,59.97,남향,"HP25. 구룡산뷰, 강남대단지신축입주, 호텔급커뮤니티 ","['2년이내', '대단지', '중층']",154동
95,118,2425780554,디에이치퍼스티어아이파크,전세,18/32,260000,0,26억,220,171.65,남향,"66 주인직접, 최고뷰, 호텔급커뮤니티, 조중석식서비스","['2년이내', '융자금없는', '대단지']",104동
96,119,2425942820,디에이치퍼스티어아이파크,전세,19/35,160000,0,16억,125,96.82,남서향,"조망좋은집, 즉시입주","['2년이내', '대단지', '방네개이상', '화장실두개']",102동
97,121,2425739049,디에이치퍼스티어아이파크,전세,10/29,115000,0,"11억 5,000",85,59.97,남동향,"탁트인 전망, 확장 풀에어컨, 오래거주가능, 보시면반할집","['2년이내', '융자금없는', '대단지']",154동
98,125,2425776754,디에이치퍼스티어아이파크,월세,20/20,200000,800,20억,230,179.79,남동향,70펜트 주인직접 완전풀옵션 구룡산뷰 호텔급커뮤니티 조중석식서비스,"['2년이내', '융자금없는', '대단지']",145동
99,127,2425555028,디에이치퍼스티어아이파크,전세,27/30,145000,0,"14억 5,000",125,96.82,남향,38 조망굿 가격굿 주인굿 모든것이완벽,"['2년이내', '대단지', '방네개이상']",163동
100,129,2425554907,디에이치퍼스티어아이파크,전세,12/26,160000,0,16억,144,112.85,남향,44 착한전세 초품아 역대급커뮤니티 생활편리 뭐든협의,"['2년이내', '대단지', '대형평수']",147동
101,130,2425639057,디에이치퍼스티어아이파크,월세,14/25,100000,220,10억,144,112.85,남동향,44. 최고급 커뮤니티. 호텔식 조중석 가능. 초중고 근접.,"['2년이내', '대단지', '대형평수']",137동
102,131,2425597717,래미안블레스티지,매매,16/17,240000,0,24억,80,59.96,남동향,24 채광좋은O상태좋은O생활편리동O로얄동O로얄층O확트임,"['10년이내', '대단지', '방세개']",206동
103,132,2425601963,디에이치퍼스티어아이파크,월세,13/35,50000,700,5억,170,132.99,남향,51.조정가O트인조망O최고급커뮤니티O호텔식조중석식O,"['2년이내', '융자금없는', '대단지', '대형평수']",101동
104,133,2425592833,래미안블레스티지,매매,13/22,280000,0,28억,113,84.94,남동향,"24 로얄동로얄층 , 매수 좋은기회","['10년이내', '대단지', '방세개', '화장실두개']",221동
105,134,2425579292,디에이치퍼스티어아이파크,매매,28/28,1000000,0,100억,230,179.79,남향,70펜트 주인직접 최고 탁트인조망 전세도 가능 조율가,"['2년이내', '대단지', '대형평수', '탑층']",138동
106,135,2425673581,디에이치퍼스티어아이파크,월세,6/19,60000,440,6억,125,96.82,남동향,"38A 전철역, 학교, 커뷰니티, 생활인프라 모든 근접한 로얄세대","['2년이내', '융자금없는', '대단지']",110동
107,136,2425558087,디에이치퍼스티어아이파크,전세,19/35,230000,0,23억,169,132.81,남향,51 착한전세 주인직접 장기거주 명품커뮤니티 센터동,"['2년이내', '대단지', '대형평수']",173동
108,137,2425609186,래미안블레스티지,전세,8/8,150000,0,15억,116,84.79,남서향,펜트전세 테라스있음 풀에어컨 햇살가득,"['10년이내', '융자금없는', '테라스', '대단지']",201동
109,138,2425668675,래미안블레스티지,전세,11/22,115000,0,"11억 5,000",80,59.96,남동향,"24  풀옵션, 로얄동층, 조중석식, 숲세권","['10년이내', '융자금없는', '대단지', '방세개']",202동
110,139,2425694622,디에이치퍼스티어아이파크,전세,25/31,180000,0,18억,169,132.81,남동향,,"['2년이내', '융자금없는', '대단지']",165동
111,140,2425692170,디에이치퍼스티어아이파크,전세,22/31,140000,0,14억,125,96.82,남향,38.빠른입주가능.실매물.로얄동.호텔급커뮤니티 인접동.조중석식,"['2년이내', '융자금없는', '대단지']",166동
112,143,2425605989,디에이치퍼스티어아이파크,전세,4/31,160000,0,16억,125,96.82,남향,"38, 직접 실매물, 빠른잔금, 커뮤니티 인근 이용편리하고 정원뷰","['2년이내', '융자금없는', '대단지', '방네개이상']",166동
113,144,2425606251,디에이치퍼스티어아이파크,월세,4/31,120000,160,12억,125,96.82,남향,"38, 직접 실매물, 빠른잔금, 커뮤니티 인근 이용편리하고 정원뷰","['2년이내', '융자금없는', '대단지', '방네개이상']",166동
114,147,2425414372,디에이치퍼스티어아이파크,월세,17/35,20000,520,2억,125,96.52,남동향,38. 커뮤니티 최상. 로얄동. 조중석식. 초품아. 뻥뷰.,"['2년이내', '융자금없는', '대단지', '방네개이상']",101동
115,148,2425409163,디에이치퍼스티어아이파크,월세,29/30,50000,360,5억,125,96.82,남동향,"38. 주인직접.조합원 기본,풀에어컨 옵션. 초중품아. 최상의 커뮤니티.","['2년이내', '융자금없는', '대단지', '방네개이상']",163동
116,150,2425402160,디에이치퍼스티어아이파크,전세,8/14,130000,0,13억,110,84.82,남향,33 주인직접 탁트인 예쁜뷰 채광굿 초.중품아 고급커뮤니티 집좋아요,"['2년이내', '대단지', '방세개', '화장실두개']",156동
117,151,2425341359,디에이치퍼스티어아이파크,전세,21/21,135000,0,"13억 5,000",110,84.82,남향,34 바로계약가능 조정된금액 역세권 초품아 역대급커뮤니티,"['2년이내', '대단지', '탑층']",111동
118,154,2425682697,디에이치퍼스티어아이파크,월세,13/32,50000,1000,5억,220,171.65,남향,66 풀에어컨 커뮤니티동 조중식서비스 구룡역,"['2년이내', '융자금없는', '대단지', '대형평수']",104동
119,161,2425334959,디에이치퍼스티어아이파크,월세,7/26,70000,340,7억,144,112.85,남향,44 개원초배정 풀옵션 보증금조절가능 햇살가득 기운좋은집,"['2년이내', '융자금없는', '대단지']",147동
120,162,2425101916,디에이치퍼스티어아이파크,전세,21/31,145000,0,"14억 5,000",125,96.82,남향,38      RR   근린공원  커뮤니티이용편리  완벽함그자체,"['2년이내', '대단지', '방네개이상']",166동
121,163,2425320940,디에이치퍼스티어아이파크,전세,8/18,140000,0,14억,125,96.82,남동향,38 호텔식 조중석식 강남특급커뮤니티 수영장 사우나 대모산숲세권,"['2년이내', '대단지', '방네개이상', '화장실두개']",169동
122,164,2425132233,디에이치퍼스티어아이파크,월세,8/35,110000,160,11억,125,96.82,남향,38  주인직 오래거주가능 좋은임대인 로얄동호수 조중식 골프 수영장 볼링,"['2년이내', '융자금없는', '대단지', '방네개이상']",101동
123,165,2426288018,디에이치퍼스티어아이파크,전세,중/20,150000,0,15억,144,112.85,남동향,44 주인직접 로얄동 초중품아 장기거주환영 커뮤니티운영,"['2년이내', '융자금없는', '대단지', '대형평수']",145동
124,166,2426311933,디에이치퍼스티어아이파크,월세,고/31,50000,620,5억,169,132.99,남동향,51 트인뷰 계좌보유 오래거주가능,"['2년이내', '융자금없는', '대단지', '대형평수']",165동
125,167,2426321973,디에이치퍼스티어아이파크,전세,중/25,160000,0,16억,144,112.85,남동향,44 주인직 O메인로열라인O 전망 추천 입주협의 컨디션굿,"['2년이내', '융자금없는', '대단지', '대형평수']",137동
126,168,2426295246,디에이치퍼스티어아이파크,전세,고/30,200000,0,20억,169,132.99,남향,51  조망 채광 좋은 집  장기거주가능,"['2년이내', '융자금없는', '대단지']",162동
127,169,2426294709,디에이치퍼스티어아이파크,전세,고/26,150000,0,15억,144,112.85,남향,"44  폴옵션,  조망 ,커뮤니티 인접동, 장기거주가능","['2년이내', '융자금없는', '대단지']",147동
128,170,2426311653,디에이치퍼스티어아이파크,월세,고/30,50000,620,5억,169,132.81,남향,51. 초품아. 장기거주가능. 호텔급커뮤니티.수영.볼링.영화관,"['2년이내', '융자금없는', '대단지', '대형평수']",162동
