atclNo,atclNm,rletTpNm,tradTpNm,flrInfo,prc,rentPrc,hanPrc,spc1,spc2,direction,atclCfmYmd,lat,lng,atclFetrDesc,tagList,bildNm,town,road_address,address
2430127597,강남역와이즈플레이스,오피스텔,전세,6/14,26000,0,"2억 6,000",56,26.98,북향,2024-06-19T00:00:00,37.491678,127.031869,"전입,전세대출가능,전세권설정가능,전망채광최상,수납공간굳굳,역삼초주변","['15년이내', '융자금없는', '소형평수', '화장실한개']",1동,강남구개포4동,,
2429452139,강남역와이즈플레이스,오피스텔,월세,3/14,1000,115,"1,000",56,26.98,북향,2024-06-15T00:00:00,37.491678,127.031869,전입가능 인테리어깔끔 채광굿 풀옵션 강남역세권,"['15년이내', '소형평수', '방한개', '화장실한개']",1동,강남구개포4동,,
2429897600,강남역서희스타힐스,오피스텔,매매,7/12,26500,0,"2억 6,500",65,29.88,동향,2024-06-18T00:00:00,37.491413,127.032589,"갭투자 가능, 실거주 가능한 호실 입니다.","['15년이내', '화장실한개', '방한개']",1동,강남구개포4동,,
2429989101,르메이에르타운,오피스텔,월세,4/15,1000,70,"1,000",46,25.2,서향,2024-06-19T00:00:00,37.491045,127.032684,강남역 바로 가성비 좋은 귀한 오피스텔,"['25년이상', '소형평수', '화장실한개', '방한개']",101동,강남구개포4동,,
2429961219,삼일프라자,오피스텔,매매,11/15,44000,0,"4억 4,000",127,58.94,동향,2024-06-18T00:00:00,37.490944,127.032459,역삼동 업무용 사무실 매매,"['25년이상', '방한개', '화장실한개', '고층']",1동,강남구개포4동,,
2429896429,강남역서희스타힐스,오피스텔,매매,3/12,23500,0,"2억 3,500",56,25.5,서향,2024-06-18T00:00:00,37.491413,127.032589,"갭투자,실거주 모두 가능합니다.","['15년이내', '소형평수', '화장실한개', '방한개']",1동,강남구개포4동,,
2429908168,강남역와이즈플레이스,오피스텔,매매,11/14,22000,0,"2억 2,000",49,23.87,동향,2024-06-18T00:00:00,37.491678,127.031869,전망 좋고 채광좋은 세대입니다.,"['15년이내', '소형평수', '화장실한개']",1동,강남구개포4동,,
2429956911,강남역서희스타힐스,오피스텔,전세,9/12,22000,0,"2억 2,000",57,25.9,남향,2024-06-18T00:00:00,37.491413,127.032589,전입대출가능 깔끔한 컨디션 주차편리 풀옵션,"['15년이내', '소형평수', '방한개', '화장실한개']",1동,강남구개포4동,,
2429826352,강남역서희스타힐스,오피스텔,월세,12/12,120,120,120,57,25.9,북향,2024-06-18T00:00:00,37.491413,127.032589,리모델링 된 호실로 굉장히 깔끔합니다.,"['15년이내', '소형평수', '탑층', '화장실한개']",1동,강남구개포4동,,
2429825525,강남역와이즈플레이스,오피스텔,월세,7/14,110,110,110,49,23.87,동향,2024-06-18T00:00:00,37.491678,127.031869,,"['15년이내', '소형평수', '화장실한개', '방한개']",1동,강남구개포4동,,
2429827823,강남역서희스타힐스,오피스텔,월세,6/12,22500,15,"2억 2,500",65,29.88,동향,2024-06-18T00:00:00,37.491413,127.032589,전입가능 보증보험 가입,"['15년이내', '화장실한개', '방한개']",1동,강남구개포4동,,
2427897375,강남역서희스타힐스,오피스텔,매매,9/12,27000,0,"2억 7,000",65,29.88,동향,2024-06-07T00:00:00,37.491413,127.032589,임대수익률 높은 오피스텔 실입주가능,"['15년이내', '화장실한개', '방한개']",1동,강남구개포4동,,
2427768944,한라비발디스튜디오193,오피스텔,매매,5/12,26000,0,"2억 6,000",61,27.69,서향,2024-06-07T00:00:00,37.485751,127.032108,"양재역 초역세권 5분거리, 전망 채광좋은 물건","['15년이내', '역세권', '소형평수', '화장실한개']",1동,강남구개포4동,,
2429944923,강남웅진베어스빌,오피스텔,전세,9/16,34146,0,"3억 4,146",45,24.25,북동향,2024-06-18T00:00:00,37.490213,127.032788,뱅뱅사거리 대로변 고층 매물 보증보험OK,"['10년이내', '화장실한개', '소형평수']",1동,강남구개포4동,,
2429924274,르메이에르타운,오피스텔,전세,7/15,10000,0,1억,46,25.2,북향,2024-06-18T00:00:00,37.491045,127.032684,저렴한 풀옵션 오피스텔,"['25년이상', '화장실한개', '소형평수']",101동,강남구개포4동,,
2429770236,강남역와이즈플레이스,오피스텔,월세,13/14,1000,95,"1,000",49,23.87,동향,2024-06-18T00:00:00,37.491678,127.031869,전입0.전망채광좋은 고층매물.,"['15년이내', '화장실한개', '소형평수']",1동,강남구개포4동,,
2429751708,강남역서희스타힐스,오피스텔,매매,5/12,19000,0,"1억 9,000",54,24.56,북동향,2024-06-17T00:00:00,37.491413,127.032589,강남역세권 명품주거단지 생활편의시설,"['15년이내', '소형평수', '화장실한개', '방한개']",1동,강남구개포4동,,
2429743240,강남역와이즈플레이스,오피스텔,월세,13/14,1000,95,"1,000",49,23.87,동향,2024-06-17T00:00:00,37.491678,127.031869,"전입가능,빠른입주","['15년이내', '융자금없는', '화장실한개']",1동,강남구개포4동,,
2429732036,강남역서희스타힐스,오피스텔,전세,3/12,22200,0,"2억 2,200",57,25.9,북향,2024-06-17T00:00:00,37.491413,127.032589,강남역 서희 귀한 올전세 자주식 주차,"['15년이내', '융자금없는', '소형평수', '방한개']",1동,강남구개포4동,,
2428964400,강남역서희스타힐스,오피스텔,월세,8/12,16650,20,"1억 6,650",52,23.58,북동향,2024-06-13T00:00:00,37.491413,127.032589,보증보험 전입 대출 가능한 귀한매물,"['15년이내', '소형평수', '방한개', '화장실한개']",1동,강남구개포4동,,
2428890935,강남역서희스타힐스,오피스텔,월세,6/12,22500,15,"2억 2,500",65,29.88,동향,2024-06-13T00:00:00,37.491413,127.032589,보증보험가능 전입대출가능한 깔끔 인테리어 호실,"['15년이내', '방한개', '화장실한개', '중층']",1동,강남구개포4동,,
2429736550,강남역서희스타힐스,오피스텔,월세,8/12,16650,20,"1억 6,650",52,23.58,동향,2024-06-17T00:00:00,37.491413,127.032589,컨디션깔끔원룸 시세대비저렴 빠른계약예상,"['15년이내', '융자금없는', '화장실한개']",1동,강남구개포4동,,
2429668720,강남역와이즈플레이스,오피스텔,월세,13/14,1000,95,"1,000",49,23.87,동향,2024-06-17T00:00:00,37.491678,127.031869,전입OK 전망굿 내부깔끔,"['15년이내', '화장실한개', '소형평수']",1동,강남구개포4동,,
2427361515,도곡푸르지오2차,오피스텔,매매,9/14,170000,0,17억,224,113.08,남향,2024-06-04T00:00:00,37.487632,127.032954,1 입주가능 2 고층 3 판상형 4  역세권 오피스텔,"['25년이내', '역세권', '화장실두개', '대형평수']",102동,강남구개포4동,,
2429311866,강남역와이즈플레이스,오피스텔,매매,11/14,22000,0,"2억 2,000",49,23.87,동향,2024-06-14T00:00:00,37.491678,127.031869,구조 좋고 인테리어 깨끗한 오피스텔 입니다.,"['15년이내', '화장실한개', '소형평수', '방한개']",1동,강남구개포4동,,
2429161986,강남역와이즈플레이스,오피스텔,월세,3/14,1000,115,"1,000",56,26.98,북서향,2024-06-14T00:00:00,37.491678,127.031869,"내부깔끔,전입가능,풀옵션,전망있음","['15년이내', '융자금없는', '소형평수']",1동,강남구개포4동,,
2427337978,강남역서희스타힐스,오피스텔,매매,10/12,23000,0,"2억 3,000",63,28.96,동향,2024-06-04T00:00:00,37.491413,127.032589,풀옵션 급매 전세안고매매입니다,"['15년이내', '급매', '화장실한개', '방한개']",1동,강남구개포4동,,
2427120417,도곡푸르지오2차,오피스텔,매매,8/14,110000,0,11억,154,77.81,남서향,2024-06-03T00:00:00,37.487632,127.032954,빠른입주 협의가능,"['25년이내', '역세권', '대형평수']",102동,강남구개포4동,,
2429283982,강남역와이즈플레이스,오피스텔,전세,14/14,21500,0,"2억 1,500",49,23.87,동향,2024-06-14T00:00:00,37.491678,127.031869,오늘나온 전입대출가능한 저렴한 전세매물,"['15년이내', '소형평수', '탑층', '방한개']",1동,강남구개포4동,,
2429092816,강남역와이즈플레이스,오피스텔,매매,6/14,21500,0,"2억 1,500",49,23.87,동향,2024-06-13T00:00:00,37.491678,127.031869,갭투자가능 실거주 가능 매물,"['15년이내', '소형평수', '화장실한개', '방한개']",1동,강남구개포4동,,
2429109591,삼성애니텔,오피스텔,매매,10/15,21000,0,"2억 1,000",56,29.6,동향,2024-06-13T00:00:00,37.491773,127.032505,로얄층 전망좋음. 올수리 하여 내부 깔끔.,"['25년이내', '올수리', '화장실한개', '소형평수']",1동,강남구개포4동,,
2429065802,삼일프라자,오피스텔,월세,8/15,10000,95,1억,121,56.38,동향,2024-06-13T00:00:00,37.490944,127.032459,강남대로이면 사통팔달 교통편리 반전세 1억95,"['25년이상', '방한개', '화장실한개', '중층']",1동,강남구개포4동,,
2429114116,도곡푸르지오2차,오피스텔,월세,10/14,5000,240,"5,000",154,77.81,서향,2024-06-14T00:00:00,37.487632,127.032954,,"['25년이내', '융자금없는', '역세권', '대형평수']",102동,강남구개포4동,,
2429102466,강남역서희스타힐스,오피스텔,월세,11/12,1000,90,"1,000",56,25.5,서향,2024-06-13T00:00:00,37.491413,127.032589,고층 빠른입주가능한 저렴한 월세매물,"['15년이내', '소형평수', '방한개', '화장실한개']",1동,강남구개포4동,,
2429061030,강남역서희스타힐스,오피스텔,월세,3/12,1000,105,"1,000",65,29.88,동향,2024-06-13T00:00:00,37.491413,127.032589,강남역 귀한 오피스텔 월세,"['15년이내', '융자금없는', '화장실한개']",1동,강남구개포4동,,
2428890795,강남웅진베어스빌,오피스텔,월세,3/16,2000,110,"2,000",45,24.25,남향,2024-06-13T00:00:00,37.490213,127.032788,,"['10년이내', '복층', '소형평수']",1동,강남구개포4동,,
2428867798,한라비발디스튜디오193,오피스텔,매매,5/12,26000,0,"2억 6,000",61,27.69,남향,2024-06-12T00:00:00,37.485751,127.032108,"실거주 가능, 초역세권 가성비 최고 오피스텔 매매입니다.","['15년이내', '역세권', '소형평수']",1동,강남구개포4동,,
2428795619,강남역서희스타힐스,오피스텔,월세,5/12,16650,20,"1억 6,650",52,23.58,남향,2024-06-12T00:00:00,37.491413,127.032589,전입O.전세대출O.자주식.강남.양재인기오피스텔,"['15년이내', '소형평수', '화장실한개']",1동,강남구개포4동,,
2428851570,강남역서희스타힐스,오피스텔,월세,7/12,16650,20,"1억 6,650",52,23.58,동향,2024-06-12T00:00:00,37.491413,127.032589,전입 버팀목대출가능 자주식주차,"['15년이내', '융자금없는', '소형평수']",1동,강남구개포4동,,
2428650842,르메이에르타운,오피스텔,전세,9/15,12000,0,"1억 2,000",46,25.2,북향,2024-06-11T00:00:00,37.491045,127.032684,"전입신고, 양쪽 창문, 강남대로이면 협의 입주,","['25년이상', '화장실한개', '소형평수']",101동,강남구개포4동,,
2428649826,르메이에르타운,오피스텔,월세,13/15,5000,40,"5,000",43,23.56,서향,2024-06-11T00:00:00,37.491045,127.032684,"보증금 많은 월세 저렴,500040, 전입신고 가능","['25년이상', '융자금없는', '화장실한개']",101동,강남구개포4동,,
2428645293,르메이에르타운,오피스텔,월세,3/15,1000,60,"1,000",46,25.2,남향,2024-06-11T00:00:00,37.491045,127.032684,,"['25년이상', '융자금없는', '화장실한개']",101동,강남구개포4동,,
2428493614,강남역서희스타힐스,오피스텔,매매,4/12,28000,0,"2억 8,000",69,31.5,동향,2024-06-11T00:00:00,37.491413,127.032589,"1000만원 갭투자 서희건물에서 제일 넓은 평수, 리모델링 되어 있음","['15년이내', '방한개', '화장실한개']",1동,강남구개포4동,,
2428573287,강남역서희스타힐스,오피스텔,전세,12/12,22000,0,"2억 2,000",57,25.9,남동향,2024-06-11T00:00:00,37.491413,127.032589,컨디션깔끔 시세대비저렴 빠른계약예상,"['15년이내', '융자금없는', '화장실한개']",1동,강남구개포4동,,
2428472267,삼일프라자,오피스텔,월세,7/15,500,65,500,62,28.83,남향,2024-06-10T00:00:00,37.490944,127.032459,"강남역, 양재역 도보 10분거리 업무용 사무실","['25년이상', '소형평수', '방한개', '화장실한개']",1동,강남구개포4동,,
2428470688,강남역와이즈플레이스,오피스텔,매매,13/14,22000,0,"2억 2,000",49,23.87,서향,2024-06-10T00:00:00,37.491678,127.031869,전망.채광 특별히 좋은 집. 내부상태 깨끗. 주차편리. 정말좋은매물,"['15년이내', '소형평수', '방한개']",1동,강남구개포4동,,
2428448665,삼일프라자,오피스텔,월세,8/15,500,60,500,56,26.04,남향,2024-06-10T00:00:00,37.490944,127.032459,"강남역, 양재역 도보 10분거리 업무용 사무실","['25년이상', '소형평수', '방한개', '화장실한개']",1동,강남구개포4동,,
2428451808,삼일프라자,오피스텔,월세,11/15,1000,100,"1,000",98,45.41,동향,2024-06-10T00:00:00,37.490944,127.032459,"강남역, 양재역 도보 10분거리 업무용 사무실","['25년이상', '방두개', '화장실한개', '고층']",1동,강남구개포4동,,
2428400539,삼성애니텔,오피스텔,월세,5/15,1000,90,"1,000",79,42.25,남향,2024-06-10T00:00:00,37.491773,127.032505,"업무용임대, 내부 공간 넓습니다","['25년이내', '융자금없는', '화장실한개', '방한개']",1동,강남구개포4동,,
2428445871,삼일프라자,오피스텔,월세,15/15,1000,80,"1,000",79,36.7,북향,2024-06-10T00:00:00,37.490944,127.032459,"강남역, 양재역 도보 10분거리 오피스사무실","['25년이상', '탑층', '방한개', '화장실한개']",1동,강남구개포4동,,
2428389394,강남역와이즈플레이스,오피스텔,월세,3/14,1000,115,"1,000",56,26.98,북향,2024-06-10T00:00:00,37.491678,127.031869,주거용 전입가능 내부깔끔 편리한주차 자주식,"['15년이내', '소형평수', '방한개', '화장실한개']",1동,강남구개포4동,,
2426449466,강남역와이즈플레이스,오피스텔,매매,11/14,22000,0,"2억 2,000",49,23.87,동향,2024-05-30T00:00:00,37.491678,127.031869,강남대로변 인기 오피스텔 소액 갭투자 풀옵션 주차편리,"['15년이내', '소형평수', '방한개', '화장실한개']",1동,강남구개포4동,,
2428478147,강남역서희스타힐스,오피스텔,월세,6/12,22500,15,"2억 2,500",65,29.88,동향,2024-06-10T00:00:00,37.491413,127.032589,전입O.전세대출O.자주식주차.강남.양재인기오피스텔,"['15년이내', '화장실한개', '방한개']",1동,강남구개포4동,,
2428424408,강남역와이즈플레이스,오피스텔,월세,6/14,20900,15,2억 900,49,23.87,동향,2024-06-10T00:00:00,37.491678,127.031869,전입O.전세대출O.강남 양재 인기오피스텔,"['15년이내', '소형평수', '화장실한개']",1동,강남구개포4동,,
2428427810,강남역서희스타힐스,오피스텔,전세,12/12,22000,0,"2억 2,000",65,29.88,동향,2024-06-10T00:00:00,37.491413,127.032589,전입대출가능한 로얄층 전세매물,"['15년이내', '탑층', '방한개', '화장실한개']",1동,강남구개포4동,,
2428359351,도곡푸르지오2차,오피스텔,매매,12/14,125000,0,"12억 5,000",154,77.81,남향,2024-06-10T00:00:00,37.487632,127.032954,"특올수리,실거주가능매물","['25년이내', '올수리', '역세권', '화장실한개']",102동,강남구개포4동,,
2429878765,루시아도산208,오피스텔,월세,15/20,10000,450,1억,120,52.88,남향,2024-06-18T00:00:00,37.519695,127.029295,을지병원사거리 남산타워 고층뷰 루시아도산 ,"['2년이내', '화장실한개', '방한개']",1동,강남구논현1동,,
2429754191,루시아도산208,오피스텔,월세,19/20,10000,450,1억,125,55.24,남향,2024-06-18T00:00:00,37.519695,127.029295,을지병원사거리 남산타워 고층뷰 루시아도산 ,"['2년이내', '화장실한개', '방한개']",1동,강남구논현1동,,
2430416443,루시아도산208,오피스텔,매매,19/20,223000,0,"22억 3,000",125,55.24,북향,2024-06-21T00:00:00,37.519695,127.029295,최고로열세대 최고로열뷰 마피2억,"['2년이내', '화장실한개', '방한개']",1동,강남구논현1동,,
2430434559,루시아도산208,오피스텔,월세,17/20,10000,600,1억,120,52.88,남향,2024-06-21T00:00:00,37.519695,127.029295,추천. 업무용. 사업자명의계약. 씨티뷰. 분리형원룸.,"['2년이내', '세대분리', '방한개']",1동,강남구논현1동,,
2430434586,루시아도산208,오피스텔,월세,18/20,10000,600,1억,120,52.88,남향,2024-06-21T00:00:00,37.519695,127.029295,추천. 업무용. 사업자명의계약. 씨티뷰. 분리형원룸.,"['2년이내', '세대분리', '방한개']",1동,강남구논현1동,,
2430434616,루시아도산208,오피스텔,월세,16/20,10000,600,1억,120,52.88,남향,2024-06-21T00:00:00,37.519695,127.029295,추천. 업무용. 사업자명의계약. 씨티뷰. 분리형원룸.,"['2년이내', '세대분리', '방한개']",1동,강남구논현1동,,
2430417710,루시아도산208,오피스텔,월세,18/20,10000,550,1억,125,55.24,남동향,2024-06-20T00:00:00,37.519695,127.029295,집주인확인 하이앤드 루시아도산208,"['2년이내', '화장실한개', '방한개', '고층']",1동,강남구논현1동,,
2430360149,루시아도산208,오피스텔,매매,14/20,185000,0,"18억 5,000",120,52.88,남향,2024-06-20T00:00:00,37.519695,127.029295,실제매물 소유주직접 도산대로 하이엔드 풀옵션,"['2년이내', '화장실한개', '방한개']",1동,강남구논현1동,,
2430197413,루시아도산208,오피스텔,월세,13/20,10000,500,1억,125,55.24,북향,2024-06-20T00:00:00,37.519695,127.029295,고급 오피스텔 신축 첫 입주 위치 좋은 하이엔드 오피스텔,"['2년이내', '화장실한개', '방한개']",1동,강남구논현1동,,
2430226174,루시아도산208,오피스텔,월세,19/20,10000,600,1억,125,55.24,북향,2024-06-20T00:00:00,37.519695,127.029295,TOP I 신축첫입주 I 시원한 도산대로뷰 I 보면 마음에 드실 집,"['2년이내', '융자금없는', '방한개']",1동,강남구논현1동,,
2430152789,루시아도산208,오피스텔,매매,16/20,240000,0,24억,120,52.88,남향,2024-06-19T00:00:00,37.519695,127.029295,추천. 논현동. 하이엔드 오피스텔. 업무용. 월세.,"['2년이내', '방한개', '화장실한개']",1동,강남구논현1동,,
2430153762,루시아도산208,오피스텔,매매,18/20,240000,0,24억,120,52.88,남향,2024-06-19T00:00:00,37.519695,127.029295,추천. 논현동. 하이엔드 오피스텔. 업무용. 매매.,"['2년이내', '방한개', '화장실한개']",1동,강남구논현1동,,
2430153317,루시아도산208,오피스텔,매매,17/20,240000,0,24억,120,52.88,남향,2024-06-19T00:00:00,37.519695,127.029295,추천. 논현동. 하이엔드 오피스텔. 업무용. 매매.,"['2년이내', '방한개', '화장실한개']",1동,강남구논현1동,,
2429908323,루시아도산208,오피스텔,월세,15/20,10000,750,1억,126,55.5,북향,2024-06-18T00:00:00,37.519695,127.029295,고층 전망우수 1룸 1거실 가구포함,"['2년이내', '방한개', '화장실한개']",1동,강남구논현1동,,
2429542395,루시아도산208,오피스텔,매매,17/20,251473,0,"25억 1,473",125,55.24,북서향,2024-06-17T00:00:00,37.519695,127.029295,도산대로변 최고의 입지 북서향 대로변 뷰,"['2년이내', '화장실한개', '방한개']",1동,강남구논현1동,,
2430434639,루시아도산208,오피스텔,월세,17/20,10000,700,1억,120,52.88,남향,2024-06-21T00:00:00,37.519695,127.029295,추천. 논현동. 하이엔드 오피스텔. 업무용. 월세.,"['2년이내', '방한개', '화장실한개', '고층']",1동,강남구논현1동,,
2429909412,루시아도산208,오피스텔,월세,15/20,5000,470,"5,000",125,55.24,북향,2024-06-18T00:00:00,37.519695,127.029295,"북향, 탁트인 고층조망, 첫입주","['2년이내', '융자금없는', '방한개']",1동,강남구논현1동,,
2428538457,루시아도산208,오피스텔,월세,13/20,10000,500,1억,125,55.24,남동향,2024-06-11T00:00:00,37.519695,127.029295,도산대로 하이엔드 오피스텔 루시아 도산 다량 보유,"['2년이내', '방한개', '화장실한개']",1동,강남구논현1동,,
2430341658,세양에이팩스타워,오피스텔,월세,14/15,1000,90,"1,000",48,26.91,북향,2024-06-20T00:00:00,37.518481,127.02604,사진있음.한강뷰.탁트인 조망.업무용 오피스텔,"['25년이내', '역세권', '화장실한개']",1동,강남구논현1동,,
2430347221,세양에이팩스타워,오피스텔,월세,12/15,1000,100,"1,000",60,33.54,북향,2024-06-20T00:00:00,37.518481,127.02604,고층  양창이 나있어 채광 좋은 깔끔한 매물,"['25년이내', '융자금없는', '역세권']",1동,강남구논현1동,,
2428053036,루시아도산208,오피스텔,매매,16/20,223278,0,"22억 3,278",120,52.88,남향,2024-06-08T00:00:00,37.519695,127.029295,로열층 남향 코너,"['2년이내', '화장실한개', '방한개', '고층']",1동,강남구논현1동,,
2428053015,루시아도산208,오피스텔,매매,15/20,230000,0,23억,125,55.24,북향,2024-06-08T00:00:00,37.519695,127.029295,최고 로열라인 월세 끼고 매매 수익형 추천,"['2년이내', '화장실한개', '방한개', '고층']",1동,강남구논현1동,,
2428053359,루시아도산208,오피스텔,매매,20/20,500000,0,50억,137,60.17,북향,2024-06-08T00:00:00,37.519695,127.029295,단독야외테라스 복층 펜트 세끼고 매매,"['2년이내', '테라스', '복층', '대형평수']",1동,강남구논현1동,,
2430150681,루시아도산208,오피스텔,월세,16/20,10000,400,1억,125,55.24,북향,2024-06-19T00:00:00,37.519695,127.029295,Feel.탁트인뷰.렌트프리O.하이엔드구조,"['2년이내', '방두개', '화장실한개', '고층']",1동,강남구논현1동,,
