atclNo,atclNm,rletTpNm,tradTpNm,flrInfo,prc,rentPrc,hanPrc,spc1,spc2,direction,atclCfmYmd,lat,lng,atclFetrDesc,tagList,bildNm,town,road_address,address
2430439893,디에이치퍼스티어아이파크,아파트,월세,22/33,100000,600,10억,201,156.96,남향,2024-06-21T00:00:00,37.481182,127.057478,61O시그니처동O커뮤니티연결동O근린공원O뷰좋음,"['2년이내', '대단지', '대형평수']",103동,강남구개포1동,,Error: 401
2430445840,디에이치퍼스티어아이파크,아파트,월세,17/31,50000,800,5억,169,132.81,남향,2024-06-21T00:00:00,37.479531,127.060231,"51 전망좋은집  상가접근성,  커뮤니티접근성, 학교접근성","['2년이내', '융자금없는', '대단지']",165동,강남구개포1동,,Error: 401
2430450748,디에이치퍼스티어아이파크,아파트,월세,29/30,80000,280,8억,125,96.62,남향,2024-06-21T00:00:00,37.479218,127.06057,38 주인의뢰 초중인접 로얄동 최고급커뮤니티 장기거주가능,"['2년이내', '대단지', '방네개이상', '화장실두개']",163동,강남구개포1동,,Error: 401
2430443998,래미안블레스티지,아파트,매매,16/17,240000,0,24억,80,59.96,남동향,2024-06-21T00:00:00,37.481736,127.062534,24 채광좋은O상태좋은O생활편리동O로얄동O로얄층O확트임,"['10년이내', '대단지', '방세개']",206동,강남구개포1동,,Error: 401
2430460854,디에이치퍼스티어아이파크,아파트,전세,30/33,300000,0,30억,201,156.96,남동향,2024-06-21T00:00:00,37.481182,127.057478,61.탁트인조망O최고급커뮤니티O호텔식조중석식O로얄동로얄층,"['2년이내', '융자금없는', '대단지', '대형평수']",103동,강남구개포1동,,Error: 401
2430461086,디에이치퍼스티어아이파크,아파트,전세,23/32,290000,0,29억,220,171.65,남향,2024-06-21T00:00:00,37.481919,127.057858,66.개포동랜드마크O최고전망O대형평형의여유O호텔식조중석식,"['2년이내', '융자금없는', '대단지', '대형평수']",104동,강남구개포1동,,Error: 401
2430452261,디에이치퍼스티어아이파크,아파트,전세,17/31,250000,0,25억,169,132.81,남서향,2024-06-21T00:00:00,37.479531,127.060231,"디퍼아 51 로얄동,층 풀에어컨,추천 귀한 전세","['2년이내', '대단지', '대형평수', '방네개이상']",165동,강남구개포1동,,Error: 401
2430460302,디에이치퍼스티어아이파크,아파트,전세,14/26,165000,0,"16억 5,000",145,112.99,남동향,2024-06-21T00:00:00,37.47849,127.059135,"44.트인조망O최고급커뮤니티O호텔식조중석식O식세기,김냉","['2년이내', '융자금없는', '대단지', '대형평수']",147동,강남구개포1동,,Error: 401
2430440305,디에이치퍼스티어아이파크,아파트,월세,28/28,250000,600,25억,230,179.79,남향,2024-06-21T00:00:00,37.479249,127.057677,70펜트 탁트인조망 로얄동호수 주인직 조중석식 골프 볼링 수영 초품아,"['2년이내', '융자금없는', '대단지', '대형평수']",138동,강남구개포1동,,Error: 401
2430439571,디에이치퍼스티어아이파크,아파트,월세,19/35,140000,80,14억,125,96.82,남향,2024-06-21T00:00:00,37.480453,127.058339,38 주인의뢰 중앙공원전망 초중품아 커뮤니티인접 전망.채광 최고,"['2년이내', '대단지', '방네개이상', '화장실두개']",101동,강남구개포1동,,Error: 401
2430449974,래미안블레스티지,아파트,매매,17/17,220000,0,22억,80,59.83,남동향,2024-06-21T00:00:00,37.481736,127.062534,2 4 생활편리동O시야가 확보되는 뷰O상가근접동O갭투자가능,"['10년이내', '대단지', '탑층']",206동,강남구개포1동,,Error: 401
2430479853,디에이치퍼스티어아이파크,아파트,매매,21/26,425000,0,"42억 5,000",144,112.85,남서향,2024-06-21T00:00:00,37.478823,127.058843,44 주인의뢰 실입주가능 초중품아 풀옵션 최고급 호텔 커뮤니티,"['2년이내', '대단지', '대형평수', '방네개이상']",146동,강남구개포1동,,Error: 401
2430498183,디에이치퍼스티어아이파크,아파트,월세,4/31,120000,200,12억,125,96.82,남향,2024-06-21T00:00:00,37.479729,127.059819,"38, 직접 실매물, 빠른잔금, 커뮤니티 인근 이용편리하고 정원뷰","['2년이내', '융자금없는', '대단지', '방네개이상']",166동,강남구개포1동,,Error: 401
2430410348,래미안블레스티지,아파트,전세,8/8,135000,0,"13억 5,000",116,84.79,남서향,2024-06-20T00:00:00,37.480127,127.063991,34 귀한펜트하우스 주인직접 빠른입주 장기거주 단독 테라스,"['10년이내', '테라스', '대단지', '탑층']",223동,강남구개포1동,,Error: 401
2430493024,디에이치퍼스티어아이파크,아파트,월세,6/26,80000,360,8억,144,112.85,남서향,2024-06-21T00:00:00,37.47849,127.059135,"조용한 동호, 최고옵션, 커뮤니티최근접, 2엘베, 중앙공원앞, 무융자","['2년이내', '융자금없는', '대단지', '대형평수']",147동,강남구개포1동,,Error: 401
2430497986,디에이치퍼스티어아이파크,아파트,전세,4/31,170000,0,17억,125,96.82,남향,2024-06-21T00:00:00,37.479729,127.059819,"38, 직접 실매물, 빠른잔금, 커뮤니티 인근 이용편리하고 정원뷰","['2년이내', '융자금없는', '대단지', '방네개이상']",166동,강남구개포1동,,Error: 401
2430246902,디에이치퍼스티어아이파크,아파트,월세,8/18,120000,160,12억,125,96.82,남동향,2024-06-20T00:00:00,37.480137,127.060316,38 주인직접V신축첫입주V호텔급커뮤니티V초.중학교 근접동,"['2년이내', '대단지', '방네개이상']",169동,강남구개포1동,,Error: 401
2430333334,디에이치퍼스티어아이파크,아파트,전세,17/32,330000,0,33억,220,171.65,남향,2024-06-20T00:00:00,37.481919,127.057858,"66 집주인직접의뢰,실매물.장기거주가능.강남최고급커뮤니티,","['2년이내', '융자금없는', '대단지', '대형평수']",104동,강남구개포1동,,Error: 401
2430409289,래미안블레스티지,아파트,전세,8/8,150000,0,15억,116,84.79,남서향,2024-06-20T00:00:00,37.481459,127.062483,,"['10년이내', '대단지', '탑층', '방세개']",201동,강남구개포1동,,Error: 401
2430261455,디에이치퍼스티어아이파크,아파트,월세,11/31,120000,160,12억,125,96.82,남동향,2024-06-20T00:00:00,37.479729,127.059819,38 보증금조정가능O호텔급커뮤니티O럭셔리주거생활,"['2년이내', '대단지', '방네개이상']",166동,강남구개포1동,,Error: 401
2430214571,디에이치퍼스티어아이파크,아파트,전세,23/31,150000,0,15억,125,96.62,남향,2024-06-20T00:00:00,37.479729,127.059819,38 좋은가격 전망굿 로얄동층 초중품아 커뮤니티 바로연결,"['2년이내', '융자금없는', '대단지', '방네개이상']",166동,강남구개포1동,,Error: 401
2430261356,래미안블레스티지,아파트,매매,20/22,285000,0,"28억 5,000",113,84.94,남동향,2024-06-20T00:00:00,37.480899,127.064522,34  확트인  대모산전망 로얄동  로얄층  세안고 갭투자,"['10년이내', '대단지', '방세개']",221동,강남구개포1동,,Error: 401
2430166478,디에이치퍼스티어아이파크,아파트,전세,14/16,150000,0,15억,125,96.82,남동향,2024-06-20T00:00:00,37.479794,127.060753,38 급전세오래거주가능 위치최고  최고급커뮤티티 수영장 조중식 채광좋음,"['2년이내', '융자금없는', '대단지', '방네개이상']",167동,강남구개포1동,,Error: 401
2430407934,디에이치퍼스티어아이파크,아파트,매매,30/30,1000000,0,100억,230,179.65,남향,2024-06-21T00:00:00,37.478636,127.060953,70펜트.주인직접 풀옵션 넓은테라스 환상적인뷰,"['2년이내', '테라스', '대단지', '대형평수']",162동,강남구개포1동,,Error: 401
2430390079,디에이치퍼스티어아이파크,아파트,매매,22/33,650000,0,65억,201,156.96,남동향,2024-06-20T00:00:00,37.481182,127.057478,61A 주인직접 의뢰 공원뷰 커뮤니티 생활인프라 근접 추분포함,"['2년이내', '대단지', '대형평수', '방네개이상']",103동,강남구개포1동,,Error: 401
2430391020,디에이치퍼스티어아이파크,아파트,월세,18/20,120000,160,12억,144,112.85,남동향,2024-06-20T00:00:00,37.478749,127.058093,44 풀에어컨.식세기.장기거주 월풀.침실확장. 초중품아. 조중석식 .,"['2년이내', '대단지', '대형평수', '방네개이상']",145동,강남구개포1동,,Error: 401
2430287416,래미안블레스티지,아파트,전세,4/8,105000,0,"10억 5,000",80,59.88,남동향,2024-06-20T00:00:00,37.480127,127.063991,24. 주인직접 빠른입주가능 공기좋은숲세권 탁트인뷰,"['10년이내', '대단지', '방세개', '화장실두개']",223동,강남구개포1동,,Error: 401
2430215532,디에이치퍼스티어아이파크,아파트,전세,29/30,150000,0,15억,125,96.82,남동향,2024-06-20T00:00:00,37.479218,127.06057,38 무융 계약가능 로얄동층 초중인접 인기동 진출입편리,"['2년이내', '융자금없는', '대단지', '방네개이상']",163동,강남구개포1동,,Error: 401
2430333172,래미안블레스티지,아파트,전세,10/17,105000,0,"10억 5,000",80,59.96,남향,2024-06-20T00:00:00,37.481736,127.062534,"25 주인직접의뢰,장기거주 생활편리 최고급커뮤니티","['10년이내', '대단지', '방세개', '화장실두개']",206동,강남구개포1동,,Error: 401
2430390511,디에이치퍼스티어아이파크,아파트,전세,10/17,65000,0,"6억 5,000",50,34.99,남서향,2024-06-20T00:00:00,37.47819,127.057312,15 주인직접 신혼 싱글강추 교통편리 하이엔드커뮤니티,"['2년이내', '대단지', '화장실한개', '소형평수']",142동,강남구개포1동,,Error: 401
2430222750,디에이치퍼스티어아이파크,아파트,월세,21/32,50000,1200,5억,220,171.65,남동향,2024-06-20T00:00:00,37.481919,127.057858,66 보증금조율가 로얄동층 탁트인전망최고 커뮤니티최상,"['2년이내', '융자금없는', '대단지', '대형평수']",104동,강남구개포1동,,Error: 401
2430400941,디에이치퍼스티어아이파크,아파트,전세,21/32,270000,0,27억,220,171.65,남향,2024-06-21T00:00:00,37.481919,127.057858,66. 주인직접. 로얄동로얄층. 호텔급 커뮤니티. 채광좋고 전망좋은 세대,"['2년이내', '융자금없는', '대단지']",104동,강남구개포1동,,Error: 401
2430218053,디에이치퍼스티어아이파크,아파트,전세,33/35,220000,0,22억,170,132.99,남서향,2024-06-20T00:00:00,37.480453,127.058339,51. 탁트인뷰. 최고급커뮤니티. 호텔식 조중석 구룡역 7분.,"['2년이내', '대단지', '대형평수']",101동,강남구개포1동,,Error: 401
2430394726,디에이치퍼스티어아이파크,아파트,월세,30/30,300000,600,30억,230,179.65,남향,2024-06-20T00:00:00,37.478636,127.060953,70펜트 테라스정원 풀옵션 파노라마뷰 보증금조정,"['2년이내', '테라스', '마당', '대단지']",162동,강남구개포1동,,Error: 401
2430298216,디에이치퍼스티어아이파크,아파트,전세,28/28,400000,0,40억,230,179.79,남향,2024-06-20T00:00:00,37.479249,127.057677,70펜트 탁트인조망 로얄동호수 주인직 조중석식 단독진행 볼링 수영 초품아,"['2년이내', '융자금없는', '대단지', '대형평수']",138동,강남구개포1동,,Error: 401
2430191659,개포래미안포레스트,아파트,매매,22/22,200000,0,20억,86,59.92,남동향,2024-06-20T00:00:00,37.477595,127.056754,26 집주인직접 갭투자 협의조정가능 명품커뮤니티 고층트인전망  화장실1,"['4년이내', '대단지', '탑층']",129동,강남구개포1동,,Error: 401
2430110247,디에이치퍼스티어아이파크,아파트,매매,28/30,380000,0,38억,125,96.82,남향,2024-06-20T00:00:00,37.479218,127.06057,38 O뷰좋음O초중품아O조중석식O수영장O갭투자,"['2년이내', '대단지', '방네개이상']",163동,강남구개포1동,,Error: 401
2430052854,디에이치퍼스티어아이파크,아파트,월세,29/30,20000,570,2억,125,96.82,남서향,2024-06-19T00:00:00,37.479218,127.06057,38. 주인직접O 풀에어컨O 조중석식O 보증금조율OK,"['2년이내', '융자금없는', '대단지']",163동,강남구개포1동,,Error: 401
2430103869,디에이치퍼스티어아이파크,아파트,전세,11/31,160000,0,16억,125,96.82,남향,2024-06-19T00:00:00,37.479729,127.059819,38 로얄동 생활편리 역대급커뮤니티 초중품아,"['2년이내', '대단지', '방네개이상']",166동,강남구개포1동,,Error: 401
2430020856,디에이치퍼스티어아이파크,아파트,월세,27/31,50000,730,5억,169,132.99,동향,2024-06-20T00:00:00,37.479531,127.060231,"주인직접, 보증금조절가, 저렴한월세","['2년이내', '융자금없는', '대단지']",165동,강남구개포1동,,Error: 401
2430130281,디에이치퍼스티어아이파크,아파트,전세,13/25,160000,0,16억,144,112.85,남동향,2024-06-19T00:00:00,37.479955,127.056955,44 실매물V로얄동.층V개원초배정V호텔급커뮤니티,"['2년이내', '대단지', '대형평수']",137동,강남구개포1동,,Error: 401
2430019188,래미안블레스티지,아파트,매매,4/8,200000,0,20억,80,59.88,남서향,2024-06-19T00:00:00,37.480127,127.063991,24 매매 입주동 수영장 사우나 골프 커뮤니티 개인창고,"['10년이내', '대단지', '방세개']",223동,강남구개포1동,,Error: 401
2430145108,디에이치퍼스티어아이파크,아파트,전세,9/29,160000,0,16억,144,112.85,남서향,2024-06-19T00:00:00,37.478524,127.059948,44 주인직접 풀에 김냉 판상형 장기거주가능  커뮤니티인접 조중석식,"['2년이내', '대단지', '대형평수', '방네개이상']",153동,강남구개포1동,,Error: 401
2430199424,디에이치퍼스티어아이파크,아파트,전세,27/31,220000,0,22억,169,132.99,동향,2024-06-20T00:00:00,37.479531,127.060231,"주인직접, 커뮤니티연결동, 뷰좋음","['2년이내', '융자금없는', '대단지']",165동,강남구개포1동,,Error: 401
2430149249,디에이치퍼스티어아이파크,아파트,전세,18/20,158000,0,"15억 8,000",144,112.85,남동향,2024-06-19T00:00:00,37.478749,127.058093,44 V주인직접 V탁트인숲세권 V특급 커뮤니티 V호텔식 조중석식 V수영장,"['2년이내', '대단지', '대형평수']",145동,강남구개포1동,,Error: 401
2430350533,개포래미안포레스트,아파트,매매,4/22,200000,0,20억,86,59.92,남동향,2024-06-20T00:00:00,37.477595,127.056754,26.주인직접O안정적인정원뷰O숲세권O,"['4년이내', '대단지', '방세개', '화장실두개']",129동,강남구개포1동,,Error: 401
2430094703,디에이치퍼스티어아이파크,아파트,월세,8/26,120000,160,12억,145,112.99,남향,2024-06-19T00:00:00,37.482462,127.056707,44 주인직접O 보증금조율가능O 옵션좋은집,"['2년이내', '융자금없는', '대단지']",118동,강남구개포1동,,Error: 401
2430144168,래미안블레스티지,아파트,전세,8/8,150000,0,15억,116,84.79,남서향,2024-06-19T00:00:00,37.481459,127.062483,"34 펜트하우스,넓은 테라스 단독사용,채광굿","['10년이내', '융자금없는', '테라스']",201동,강남구개포1동,,Error: 401
2430084360,디에이치퍼스티어아이파크,아파트,월세,24/31,90000,240,9억,125,96.82,남동향,2024-06-19T00:00:00,37.479729,127.059819,38 초중품아 통학편리 고급커뮤니티운영중 전세가능,"['2년이내', '융자금없는', '대단지', '방네개이상']",166동,강남구개포1동,,Error: 401
2430296859,디에이치퍼스티어아이파크,아파트,전세,9/24,145000,0,"14억 5,000",110,84.82,남동향,2024-06-20T00:00:00,37.4837,127.057794,33 판상형구조 완전귀한전세 늦은입주환영,"['2년이내', '역세권', '대단지']",115동,강남구개포1동,,Error: 401
2430342900,디에이치퍼스티어아이파크,아파트,월세,15/31,50000,760,5억,169,132.81,남향,2024-06-20T00:00:00,37.479531,127.060231,"52,  로얄동로얄층, 커뮤니티가까운동, 최고의전망, 호텔식조중석식","['2년이내', '융자금없는', '대단지']",165동,강남구개포1동,,Error: 401
2430154545,디에이치퍼스티어아이파크,아파트,월세,20/20,200000,800,20억,230,179.79,남동향,2024-06-19T00:00:00,37.478749,127.058093,70펜트 주인직접 완전풀옵션 구룡산뷰 호텔급커뮤니티 조중석식서비스,"['2년이내', '융자금없는', '대단지']",145동,강남구개포1동,,Error: 401
2430153107,디에이치퍼스티어아이파크,아파트,전세,18/32,260000,0,26억,220,171.65,남향,2024-06-19T00:00:00,37.481919,127.057858,"66 주인직접, 최고뷰, 호텔급커뮤니티, 조중석식서비스","['2년이내', '융자금없는', '대단지']",104동,강남구개포1동,,Error: 401
2429841975,디에이치퍼스티어아이파크,아파트,전세,17/35,150000,0,15억,125,96.82,남향,2024-06-18T00:00:00,37.47976,127.058636,38 주인의뢰 로얄동.층 탁트인뷰 커뮤니티인접 초중품아 장기거주가능,"['2년이내', '대단지', '방네개이상', '화장실두개']",174동,강남구개포1동,,Error: 401
2429863729,디에이치퍼스티어아이파크,아파트,매매,26/26,1000000,0,100억,230,179.79,남향,2024-06-18T00:00:00,37.47849,127.059135,70. 대형 평형 다량 보유. 주인직접. 펜트 대형. 방5.화3. 옵션,"['2년이내', '대단지', '대형평수', '탑층']",147동,강남구개포1동,,Error: 401
2430152921,디에이치퍼스티어아이파크,아파트,월세,16/29,130000,160,13억,144,112.85,남동향,2024-06-19T00:00:00,37.478524,127.059948,44 주인직접 커뮤니티인접 대모산뷰 호텔급커뮤니티 조중석식서비스,"['2년이내', '융자금없는', '대단지', '대형평수']",153동,강남구개포1동,,Error: 401
2430093492,디에이치퍼스티어아이파크,아파트,전세,12/29,110000,0,11억,85,59.97,남서향,2024-06-19T00:00:00,37.477817,127.060435,"주인직접, 8월개현초개교, 귀한전세, 꼼꼼한하자체크완료","['2년이내', '대단지', '중층']",154동,강남구개포1동,,Error: 401
2429854254,디에이치퍼스티어아이파크,아파트,월세,13/19,50000,440,5억,125,96.82,남향,2024-06-18T00:00:00,37.482494,127.058348,38 역세권 완전풀옵션 개원초 로얄동층 장기거주환영,"['2년이내', '융자금없는', '대단지', '방네개이상']",110동,강남구개포1동,,Error: 401
2430146884,디에이치퍼스티어아이파크,아파트,월세,29/30,70000,320,7억,125,96.82,남향,2024-06-19T00:00:00,37.479218,127.06057,,"['2년이내', '융자금없는', '대단지']",163동,강남구개포1동,,Error: 401
2430115654,디에이치퍼스티어아이파크,아파트,전세,17/17,64000,0,"6억 4,000",50,34.99,남서향,2024-06-19T00:00:00,37.47819,127.057312,15 풀에어컨 냉장고 워시타워 인덕선 최고급커뮤니티,"['2년이내', '융자금없는', '대단지', '소형평수']",142동,강남구개포1동,,Error: 401
2429474584,디에이치퍼스티어아이파크,아파트,전세,22/29,140000,0,14억,110,84.82,남향,2024-06-17T00:00:00,37.482961,127.056781,33 장기거주 탁트인뷰 초등통학편리 역대급커뮤니티 협의가능,"['2년이내', '역세권', '대단지']",117동,강남구개포1동,,Error: 401
2429898041,디에이치퍼스티어아이파크,아파트,월세,28/31,50000,400,5억,125,96.82,남향,2024-06-18T00:00:00,37.479729,127.059819,38.빠른입주.추천로얄동.커뮤니티연결.앞트임전망.개원초.개포중,"['2년이내', '융자금없는', '대단지']",166동,강남구개포1동,,Error: 401
2429908551,디에이치퍼스티어아이파크,아파트,월세,7/20,80000,320,8억,144,112.85,남향,2024-06-18T00:00:00,37.478749,127.058093,44.보증금조정가능.추천매물.앞트인뷰.진출입편리.호텔급커뮤니티인접동,"['2년이내', '융자금없는', '대단지']",145동,강남구개포1동,,Error: 401
2429701949,디에이치퍼스티어아이파크,아파트,전세,28/35,180000,0,18억,125,96.82,남향,2024-06-17T00:00:00,37.480453,127.058339,38. 최고의뷰.막힘없는전망.초중품아. 최고급커뮤니티. 조중석식,"['2년이내', '대단지', '방네개이상']",101동,강남구개포1동,,Error: 401
2429474727,디에이치퍼스티어아이파크,아파트,전세,14/19,150000,0,15억,125,96.82,남향,2024-06-17T00:00:00,37.482494,127.058348,,"['2년이내', '대단지', '방네개이상']",110동,강남구개포1동,,Error: 401
2429796789,디에이치퍼스티어아이파크,아파트,전세,10/29,130000,0,13억,85,59.97,남동향,2024-06-18T00:00:00,37.477817,127.060435,"주인직접, 탁트인 전망, 확장 풀에어컨, 오래거주가능","['2년이내', '융자금없는', '대단지']",154동,강남구개포1동,,Error: 401
2429511871,디에이치퍼스티어아이파크,아파트,전세,23/26,140000,0,14억,110,84.82,남동향,2024-06-17T00:00:00,37.479443,127.063401,33. 주인직접. 조중석식 최고급 커뮤니티. 대모산 조망,"['2년이내', '융자금없는', '대단지']",159동,강남구개포1동,,Error: 401
2428876163,디에이치퍼스티어아이파크,아파트,전세,12/29,120000,0,12억,85,59.97,남향,2024-06-17T00:00:00,37.477817,127.060435,26 착한전세 역대급커뮤니티 초중품아 모든것이완벽,"['2년이내', '대단지', '방세개']",154동,강남구개포1동,,Error: 401
2429871055,디에이치퍼스티어아이파크,아파트,전세,18/18,65000,0,"6억 5,000",50,34.99,남동향,2024-06-18T00:00:00,37.478622,127.056892,15.원룸.포레스트뷰.추천매물.커뮤니티인근동,"['2년이내', '융자금없는', '대단지']",140동,강남구개포1동,,Error: 401
2429585908,디에이치퍼스티어아이파크,아파트,전세,28/31,150000,0,15억,125,96.82,남향,2024-06-17T00:00:00,37.479729,127.059819,38.빠른입주.추천로얄동.커뮤니티연결.앞트임전망.개원초.개포중,"['2년이내', '융자금없는', '대단지']",166동,강남구개포1동,,Error: 401
2429475173,디에이치퍼스티어아이파크,아파트,전세,15/28,120000,0,12억,85,59.97,남향,2024-06-17T00:00:00,37.477463,127.059699,"25,풀에,탁트인뷰,밝고환한,기분좋은집,장기가능","['2년이내', '대단지', '방세개']",151동,강남구개포1동,,Error: 401
2429582912,디에이치퍼스티어아이파크,아파트,전세,17/35,160000,0,16억,125,96.52,남향,2024-06-17T00:00:00,37.480453,127.058339,38.주인직접 실매물.추천로얄동.커뮤니티연결.앞트임전망.개원초.개포중,"['2년이내', '융자금없는', '대단지']",101동,강남구개포1동,,Error: 401
